canonical_text	tradition	confidence	reviewed	note
Sāyaṇa	vedic	medium	no	Vedic commentary
Bṛhadāraṇyakopaniṣad	vedic	high	no	upaniṣad
Brāhmaṇa	vedic	low	no	generic label
Maitrāyaṇī Saṃhitā	vedic	high	no	
Rigveda	vedic	high	no	variant of Ṛgveda
Śvetāśvataropaniṣad	vedic	high	no	upaniṣad
Kaṭhopaniṣad	vedic	high	no	upaniṣad
Sāmaveda	vedic	high	no	
Muṇḍakopaniṣad	vedic	high	no	upaniṣad
Kenopaniṣad	vedic	high	no	upaniṣad
