dict,L,headword_slp1,parvan,cited_verse,adhyaya,shloka,vulgate,critical,verdict,critical_evidence,critical_score,bori_locus
PWG,5903,arTay,5,18,1,18,present,present,present/present,quote-exact,1.0,"05,1.17c"
PWG,5903,arTay,1,4666,120,27,present,present,present/present,quote-exact,1.0,"01,111.21c"
PWG,5935,ard,3,16450,288,15,present,present,present/present,quote-exact,1.0,"03,272.14c"
PWG,5935,ard,1,1182,19,25,present,absent,present/absent,none,0.51,"01,17.24a"
PWG,5935,ard,3,11255,148,9,present,present,present/present,quote-exact,0.865,"03,147.35c"
PWG,5935,ard,3,2505,64,105,present,present,present/present,quote-exact,1.0,"03,61.100c"
PWG,5935,ard,3,717,18,1,present,present,present/present,quote-exact,1.0,"03,19.1a"
PWG,5935,ard,1,4116,102,39,present,present,present/present,quote-exact,1.0,"01,96.29a"
PWG,5935,ard,3,761,19,12,present,present,present/present,quote-exact,1.0,"03,20.12a"
PWG,5935,ard,3,11724,160,64,present,present,present/present,quote-exact,1.0,"03,157.57a"
PWG,5940,arD,2,1693,47,32,present,present,present/present,quote-exact,0.917,"02,43.28a"
PWG,5940,arD,3,12613,183,57,present,present,present/present,quote-exact,0.947,"03,181.5c"
PWG,5940,arD,3,8488,,,unchecked,unchecked,unresolved-locus,locus-out-of-range,,
PWG,5940,arD,2,1960,55,16,present,present,present/present,quote-exact,1.0,"02,50.23a"
PWG,6032,aryaman,1,2523,65,15,present,present,present/present,quote-exact,1.0,"01,59.15c"
PWG,6032,aryaman,1,4823,123,67,present,present,present/present,quote-exact,1.0,"01,114.55c"
PWG,6032,aryaman,12,776,26,9,present,absent,present/absent,none,0.344,"12,19.14c"
PWG,6059,arvuka,2,1119,31,15,present,present,present/present,quote-fuzzy,0.636,"02,28.46c"
PWG,6075,arh,3,1043,28,15,present,present,present/present,quote-exact,1.0,"03,29.15c"
PWG,6075,arh,3,15224,253,18,present,absent,present/absent,none,0.514,"05,172.9a"
PWG,6075,arh,3,1580,39,30,present,present,present/present,quote-exact,1.0,"03,40.23a"
PWG,6075,arh,1,6714,175,4,present,present,present/present,quote-exact,1.0,"01,165.4a"
PWG,6087,alakanandA,1,6456,167,44,present,present,present/present,quote-exact,1.0,"01,155.41a"
PWG,6130,alam,3,10019,110,51,present,present,present/present,quote-exact,1.0,"03,110.29a"
PWG,6130,alam,1,4941,126,18,present,present,present/present,quote-exact,1.0,"01,117.16c"
PWG,6130,alam,1,4440,113,16,present,absent,present/absent,none,0.387,"15,41.2c"
PWG,6176,alinda,6,371,9,63,present,absent,present/absent,none,0.515,"06,10.62a"
PWG,6284,avagAQa,1,5300,132,49,present,present,present/present,quote-exact,1.0,"01,123.28a"
PWG,6284,avagAQa,3,8236,85,94,present,present,present/present,quote-fuzzy,0.611,"13,27.31a"
PWG,6345,avataraRa,12,12965,339,101,present,present,present/present,quote-exact,1.0,"12,326.92a"
PWG,6353,avatAra,12,12941,339,77,present,present,present/present,quote-exact,1.0,"12,326.72a"
PWG,6427,avanti,6,350,9,42,present,present,present/present,quote-fuzzy,0.765,"06,10.41a"
PWG,6464,avaBfTa,12,240,,,unchecked,unchecked,unresolved-locus,locus-out-of-range,,
PWG,6474,avamarda,12,2183,59,62,present,present,present/present,quote-exact,1.0,"12,59.62a"
PWG,6591,avaSyam,1,6144,156,6,present,present,present/present,quote-exact,1.0,"01,144.6a"
PWG,6678,avAcIna,1,3770,95,17,present,present,present/present,quote-exact,0.897,"01,90.17A"
PWG,6720,avikzit,14,82,4,19,present,present,present/present,quote-exact,1.0,"14,4.19a"
PWG,6775,avimukta,3,8057,84,79,present,present,present/present,quote-fuzzy,0.771,"03,81.17c"
PWG,6806,avisTala,5,2595,72,15,present,present,present/present,quote-exact,0.853,"05,70.15c"
PWG,6806,avisTala,5,934,31,19,present,present,present/present,quote-fuzzy,0.645,"05,31.19a"
PWG,6878,aS,3,1157,30,41,present,present,present/present,quote-exact,1.0,"03,31.40a"
PWG,6878,aS,3,4051,,,unchecked,unchecked,unresolved-locus,locus-out-of-range,,
PWG,6878,aS,3,12498,,,unchecked,unchecked,unresolved-locus,locus-out-of-range,,
PWG,6878,aS,3,15393,259,24,present,present,present/present,quote-exact,1.0,"03,245.23a"
PWG,6878,aS,1,3089,74,102,present,present,present/present,quote-exact,1.0,"01,69.21a"
PWG,6878,aS,3,12619,183,63,present,present,present/present,quote-exact,1.0,"03,181.11a"
PWG,6878,aS,3,1243,32,42,present,present,present/present,quote-exact,1.0,"03,33.39a"
PWG,6878,aS,3,15080,249,11,present,present,present/present,quote-exact,1.0,"03,238.10c"
PWG,6878,aS,3,16963,301,5,present,present,present/present,quote-exact,1.0,"03,285.4e"
PWG,6878,aS,2,2312,68,62,present,present,present/present,quote-exact,1.0,"02,61.55a"
PWG,6879,aS,1,711,3,46,present,present,present/present,quote-exact,0.947,"01,3.46A"
PWG,6879,aS,2,232,5,98,present,present,present/present,quote-exact,1.0,"02,5.88a"
PWG,6879,aS,2,1733,49,9,present,present,present/present,quote-exact,1.0,"02,45.9a"
PWG,6879,aS,3,12672,184,21,present,present,present/present,quote-exact,1.0,"03,182.19c"
PWG,6879,aS,3,13353,200,4,present,absent,present/absent,none,0.342,"03,145.25c"
PWG,6879,aS,3,104,2,58,present,present,present/present,quote-exact,1.0,"03,2.56c"
PWG,6879,aS,3,1207,32,6,present,present,present/present,quote-exact,1.0,"03,33.6a"
PWG,6879,aS,3,14686,233,38,present,present,present/present,quote-exact,1.0,"03,222.36a"
PWG,6879,aS,3,12614,183,58,present,present,present/present,quote-exact,1.0,"03,181.6c"
PWG,6879,aS,3,12631,183,75,present,present,present/present,quote-exact,1.0,"03,181.22a"
PWG,6879,aS,3,13354,200,5,present,absent,present/absent,none,0.0,
PWG,6879,aS,3,10416,123,9,present,present,present/present,quote-exact,1.0,"03,123.8a"
PWG,6879,aS,3,2944,75,23,present,present,present/present,quote-exact,0.897,"03,73.22c"
PWG,6879,aS,3,11477,156,7,present,absent,present/absent,none,0.275,"11,13.19a"
PWG,6879,aS,3,8083,84,105,present,present,present/present,quote-exact,1.0,"03,82.90a"
PWG,6879,aS,3,13352,200,3,present,absent,present/absent,none,0.297,"13,10.46c"
PWG,6938,aSoka,1,2650,67,14,present,present,present/present,quote-exact,1.0,"01,61.15a"
PWG,6938,aSoka,12,114,4,7,present,present,present/present,quote-exact,1.0,"12,4.7a"
PWG,6957,aSmaka,12,1592,47,5,present,present,present/present,quote-exact,1.0,"12,47.5c"
PWG,6970,aSman,12,10115,284,3,present,absent,present/absent,none,0.375,"07,66.19c"
PWG,6970,aSman,12,834,28,3,present,present,present/present,quote-exact,1.0,"12,28.3a"
PWG,7011,aSrAy,3,16834,297,87,present,present,present/present,quote-exact,0.949,"03,281.85c"
PWG,7012,aSri,3,10665,132,15,present,present,present/present,quote-exact,1.0,"03,132.13c"
PWG,7035,aSva,15,73,3,13,present,present,present/present,quote-exact,1.0,"15,4.12c"
PWG,7035,aSva,15,84,3,24,present,present,present/present,quote-exact,1.0,"15,5.8c"
PWG,7035,aSva,1,2532,65,24,present,present,present/present,quote-exact,1.0,"01,59.24a"
PWG,7037,aSvaka,6,351,9,43,present,present,present/present,quote-exact,1.0,"06,10.41c"
PWG,7043,aSvakranda,1,1488,32,18,present,present,present/present,quote-exact,1.0,"01,28.18c"
